Menu item,Meal Type,Food Type
crème anglaise,dessert,Lait
saucisse de volaille,Plat,Volaille
Toulouse grillée,Plat,Saucisse
Suisses aro,fromage,Fromage
Carottes râpées,Entrée,legumes racines
Pomme noisettes,dessert,fruits autre
Coecur de boeuf à la dijonnaise,Plat,Boeuf
St Bricet,fromage,Fromage
Brocolis beurre Provençal,Accompagnement,type chou
tomate / concombre,Entrée,legumes autres
salade de pomme de terre,Entrée,pomme de terre
poisson meunière,Plat,Poissons
Mirabelles au sirop,dessert,Bais et Raisins
Salade coleslaw,Entrée,legumes autres
pomme vapeur,dessert,fruits autre
Yaourt aromatisé,fromage,Lait
Blanquette de veau,Plat,Veau
rôti de porc et  dinde,Plat,Porc
confiture,dessert,fruits autre
salade de mâche à la mimolette,Entrée,legumes autres
crêpes,Plat,Blé Seigle
Petits pois,Accompagnement,Legumineuse autre
st paulin,fromage,Fromage
Haricots beurre et plats,Accompagnement,Legumineuse autre
Banane,dessert,Banane
Potage tomate/vermicelle,Entrée,Tomates
cordon bleu de volaille,Plat,Volaille
Carottes,Accompagnement,legumes racines
Kiwi,dessert,fruits autre
Salade de lentilles,Entrée,Legumineuse autre
Crème de gruyère,Plat,Fromage
maïs,Accompagnement,Mais
tomates,Entrée,Tomates
filet de lieu  au beurre blanc,Plat,Poissons
Lentilles,Accompagnement,Legumineuse autre
Endives aux pommes,Entrée,legumes autres
Pâtes,Accompagnement,Blé Seigle
Liégeois,dessert,Lait
sauté de boeuf AUX POIVRES,Plat,Boeuf
Tomme bio,fromage,Fromage
poisson pané/citron,Plat,Poissons
choux fleurs agro,Accompagnement,type chou
taboulé,Entrée,legumes autres
Clémentines,dessert,agrumes
salade verte,Entrée,legumes autres
tartiflette de canard,Plat,pomme de terre
Crème vanille,dessert,Lait
Rillettes de thon,Entrée,Poissons
Crème de lentilles au cumin,Plat,Legumineuse autre
Quinoa aux petits légumes,Accompagnement,Legumineuse autre
yaourt bio,fromage,Lait
REPAS POUR LA PLANETE,Entrée,legumes autres
abricots sec,dessert,Bais et Raisins
galantine de volaille / cornichons,Entrée,Volaille
Crème anglaise,dessert,Lait
Mâche,Entrée,legumes autres
lasagne de boeuf,Plat,Blé Seigle
Lait fermier,fromage,Lait
Jambon fumé,Entrée,Porc
Marmelade de pommes,dessert,fruits autre
jambon de dinde,Entrée,Volaille
Gâteau au yaourt,dessert,Lait
Choux blancs bio à la mimolette,Entrée,type chou
tomate1/8,Entrée,Tomates
Carottes,Accompagnement,legumes racines
Tomme bio,fromage,Fromage
maïs,Accompagnement,Mais
salade de lentilles,Entrée,Legumineuse autre
Banane,dessert,Banane
Emincé de dinde Niçois,Plat,Volaille
Mousse chocolat,dessert,Lait
radis / beurre,Entrée,legumes racines
Salade verte,Entrée,legumes autres
Parmentier de poisson maison,Plat,pomme de terre
MANGER BOUGER,Entrée,legumes autres
gratin de pâtes/rape,Plat,Blé Seigle
Abricots secs,dessert,Bais et Raisins
Haché de poulet,Plat,Volaille
Mâche aux noix,Entrée,legumes autres
Yaourt bio,fromage,Lait
rôti de boeuf,Plat,Boeuf
Kiwi,dessert,fruits autre
Crème de gruyère,Plat,Fromage
et filet de sardine,Entrée,Poissons
salade pomme de terre,Entrée,pomme de terre
Ketchup,Accompagnement,Tomates
Haricots verts,Accompagnement,legumes autres
et sauce crème,Accompagnement,Lait
Bâtonnets de carottes,Entrée,legumes racines
Pomme cuite à la framboise,dessert,fruits autre
Omelette,Plat,oeufs
Chèvre,Entrée,Fromage
riz / ratatouille,Plat,Riz
sauce crustacés,Accompagnement,Crustacés
Betteraves / maïs,Entrée,legumes autres
Ananas,dessert,fruits autre
Palet brocolis / carottes,Plat,legumes autres
Duo de poisson cube,Plat,Poissons
Camembert,Fromage,Fromage
Fromage blanc,Fromage,Fromage
Parmentier de boeuf,Plat,Boeuf
salade verte,Accompagnement,legumes autres
Rillettes de thon/citron,Entrée,Poissons
Tarte au fromage,dessert,Fromage
Pomme,dessert,fruits autre
Poulet rôti au jus,Plat,Volaille
Choux fleurs béchamel agro,Accompagnement,type chou
Batonnière de légumes,Accompagnement,legumes autres
Sauté de porc au curry,Plat,Porc
lait fermier,Fromage,Lait
Eclair chocolat,dessert,Sucre blanc
Concombres,Entrée,legumes autres
sauté de dinde au curry,Plat,Volaille
Kiwi,dessert,fruits autre
Gruyère,Fromage,Fromage
RIZ,Accompagnement,Riz
carottes râpées,Entrée,legumes racines
filet de lieu sauce marmite du perray,Plat,Poissons
Yaourt aro,Fromage,Lait
radis / beurre,Entrée,legumes racines
purée de p de terre,Accompagnement,pomme de terre
Coecur de boeuf sauce dijonnaise,Plat,Boeuf
St Bricet,Fromage,Fromage
cuisse de poulet confit,Plat,Volaille
riz au lait maison,dessert,Riz
Salade au surimi,Entrée,Poissons
Petits pois,Accompagnement,legumes autres
legumes,Accompagnement,legumes autres
Choux rouges bio au gruyère,Entrée,type chou
banane,dessert,Banane
Couscous boulettes de boeuf,Plat,Boeuf
semoule,Accompagnement,Blé Seigle
filet de poisson meunière,Plat,Poissons
blé maïs tomate,Entrée,Blé Seigle
Ananas,dessert,fruits autre
Gouda,Fromage,Fromage
Brocolis,Accompagnement,legumes autres
Port salut,Fromage,Fromage
Choux fleurs agro,Accompagnement,type chou
Cordon bleu,Plat,Volaille
Biscuit du Blavet sans DLUO,dessert,Sucre blanc
Concombres,Entrée,legumes autres
compote,dessert,fruits autre
Orange,dessert,agrumes
Sauté de veau Marengo,Plat,Boeuf
Crêpe au fromage,Plat,Fromage
Chèvre,Fromage,Fromage
Haricots verts,Accompagnement,legumes autres
haricots blanc à la tomate,Accompagnement,Legumineuse autre
Tomme bio,Fromage,Fromage
Kiwi,dessert,fruits autre
Rôti de porc au jus,Plat,Porc
dinde,Plat,Volaille
Mâche demi-oeuf,Entrée,oeufs
yaourt brassé bio,Fromage,Lait
Gaspacho,Entrée,legumes autres
pomme de terre rissolée,Accompagnement,pomme de terre
fiet de lieu sauce Normande,Plat,Poissons
salade verte aux dés de gruyère,Entrée,legumes autres
Pomme,dessert,fruits autre
Choucroute de dinde ( saucisse),Plat,Volaille
Choucroute Collet ( saucisse),Entrée,type chou
Edam,Fromage,Fromage
Omelette,Plat,oeufs
ratatouille maison,Accompagnement,legumes autres
semoule au lait maison,dessert,Blé Seigle
Bettraves râpées maison,Entrée,legumes racines
Suisses aro,Fromage,Fromage
Frites,Accompagnement,pomme de terre
salade de tomatesmaison,Entrée,Tomates
steak haché,Plat,Boeuf
Riz antillais,Accompagnement,Riz
Chèvretine,Fromage,Fromage
surimi,Entrée,Poissons
Flan noix de coco,dessert,Noix de coco
poisson sauce des caraïbes,Plat,Poissons
ananas),Accompagnement,fruits autre
Menu des Caraïbes,Entrée,legumes autres
salade des Iles (Carottes,Entrée,legumes racines
Melon,Entrée,fruits autre
Crème vanille,dessert,Lait
lasagne de boeuf,Plat,Boeuf
salade,Accompagnement,legumes autres
Lait bio,Fromage,Lait
Pain perdu,dessert,Sucre blanc
Brocolis au beurre,Accompagnement,legumes autres
Poisson meunière ou saumon pane,Plat,Poissons
Concombres,Entrée,legumes autres
haricots beurre et plats agro,Accompagnement,legumes autres
St Paulin,Fromage,Fromage
Fraises au sucre,dessert,Bais et Raisins
Rôti de porc au jus,Plat,Porc
salade de blé bio (blé,Entrée,Blé Seigle
tomate,Entrée,Tomates
maïs),Entrée,Mais
Lassi :,Entrée,Lait
Dhal aux lentilles et volaille,Plat,Volaille
Samossa de légumes,Entrée,legumes autres
Repas indien,Entrée,legumes autres
framboise,dessert,Bais et Raisins
Yaourt bio,Fromage,Lait
Ananas,dessert,fruits autre
Crème de gruyère,Entrée,Fromage
Bâtonnière de légumes,Accompagnement,legumes autres
Salade de pommes de terre (PdT,Entrée,pomme de terre
oeuf),Entrée,oeufs
tomates des,Entrée,Tomates
Poisson pané/citron,Plat,Poissons
Sauté de dinde à la dijonnaise,Plat,Volaille
Pâtes,Accompagnement,Blé Seigle
Choux blancs mimolette,Entrée,type chou
Cocktail de fruits,dessert,fruits autre
Pizza,Plat,Fromage
Rôti de boeuf,Plat,Boeuf
Banane,dessert,Banane
Ketchup,Accompagnement,Tomates
petits pois,Accompagnement,legumes autres
Omelette,Plat,oeufs
Carottes râpées bio,Entrée,legumes racines
gratin de p de terr maison,Accompagnement,pomme de terre
Yaourt aro,Fromage,Lait
salade au surimi,Entrée,Poissons
Yaourt bio,Fromage,Lait
Chili corn carne,Plat,Maïs
Riz,Accompagnement,Riz
Pilons de poulet confit,Plat,Volaille
Kiwi,dessert,fruits autre
Salade de pâtes aux tomates confites,Entrée,Blé Seigle
Gouda,Fromage,Fromage
Haricots verts,Accompagnement,legumes autres
Beignet aux pommes,dessert,fruits autre
Epinards,Accompagnement,legumes autres
Jambon fumé/bl de dinde,Entrée,Volaille
lait bio,Fromage,Lait
Melon,Entrée,fruits autre
Tomme bio,Fromage,Fromage
poisson frais/sc crustace,Plat,Poissons
Fraises au sucre,dessert,Bais et Raisins
betteraves en des,Entrée,legumes racines
Pommes rissolées,Accompagnement,fruits autre
Salade de riz au thon agro,Entrée,Riz
st Nectaire,Fromage,Fromage
ananas,dessert,fruits autre
cordon bleu de volaille,Plat,Volaille
haricots beurre,Accompagnement,legumes autres
lieu,Plat,Poissons
crepes fromage,Plat,Fromage
fraises,dessert,Bais et Raisins
ECOLE,Entrée,legumes autres
marmite du perray,Plat,Poissons
Tomme blanche,Fromage,Fromage
Carottes en surgelees,Accompagnement,legumes racines
sauté de dinde,Plat,Volaille
Sauté de porc,Plat,Porc
Wok de légumes croquant,Accompagnement,legumes autres
lait bio,Fromage,Lait
melon,Entrée,fruits autre
Grillé aux abricots,dessert,fruits autre
salade de tomates,Entrée,Tomates
crème anglaise,Accompagnement,Lait
Courgette farcie,Plat,legumes autres
Riz,Accompagnement,Riz
filet de poulet,Plat,Volaille
cerise,dessert,Bais et Raisins
Clafoutis de lété (Pizza Clot),Plat,Fruts autre
Camembert,Fromage,Fromage
Petits pois cuisinés,Accompagnement,legumes autres
pommes vapeur,Accompagnement,fruits autre
nectarine,dessert,fruits autre
Tome bio,Fromage,Fromage
carottes râpées,Entrée,legumes racines
filet de lieu aux petits légumes,Plat,Poissons
salade de fruits,dessert,fruits autre
Pizza,Plat,Fromage
Brocolis,Accompagnement,legumes autres
Poisson pané,Plat,Poissons
pomme de terre rissolées,Accompagnement,pomme de terre
Gaspacho,Entrée,legumes autres
Blanquette de veau,Plat,Boeuf
Yaourt aro,Fromage,Lait
Lait bio,Fromage,Lait
Omelette,Plat,oeufs
Eclair,dessert,Sucre blanc
radis / beurre,Entrée,legumes racines
salsifis/ carottes creme,Accompagnement,legumes racines
Concombres A LA CREME,Entrée,legumes autres
Poulet rôti,Plat,Volaille
RATATATOUILLE,Accompagnement,legumes autres
Tarte au fromage,dessert,Fromage
Rôti de porc au jus,Plat,Porc
Rôti de dinde au jus,Plat,Volaille
abricots,dessert,fruits autre
St Bricet,fromage,Fromage
cerise,dessert,fruits autre
Batonnière de légumes agro,Accompagnement,legumes autres
Filet de poisson sauce Dieppoise,Plat,Poissons
taboulé,Entrée,Blé Seigle
paupiette sauce Agrumes,Plat,Porc
Pâtes,Accompagnement,Blé Seigle
Compote stock,dessert,fruits autre
Salade aux dés de gruyère,Entrée,Fromage
Rôti de boeuf foid,Plat,Boeuf
st paulin,fromage,Fromage
Haricots beurre et plats,Accompagnement,legumes autres
fraise,dessert,fruits autre
Betteraves stock,Entrée,legumes racines
ketchup,Accompagnement,Tomates
Filet de lieu,Plat,Poissons
nectarine,dessert,fruits autre
crêpe au fromage,Entrée,Fromage
Chèvre,fromage,Fromage
sauce b blanc,Accompagnement,Lait
epinards a la creme,Accompagnement,legumes autres
Tomates en salade,Entrée,Tomates
cerise,dessert,fruits autre
Champanet,fromage,Fromage
Pilon de poulet froid (apéro),Entrée,Volaille
Chips,Accompagnement,Pomme de terre
Melon,Entrée,agrumes
Ile flottante,dessert,Lait
Lasagnes,Plat,Blé Seigle
Salade verte,Entrée,legumes autres
riz au lait,dessert,Lait
radis / beurre,Entrée,legumes racines
filet de poulet au jus,Plat,Volaille
petits pois,Accompagnement,legumes autres
Rôti de boeuf,Plat,Boeuf
Pizza au fromage,Plat,Fromage
sauce poivre,Accompagnement,legumes autres
haricots verts,Accompagnement,legumes autres
raisins,dessert,Bais et Raisins
Camembert,fromage,Fromage
parmentier de poisson,Plat,Poissons
Carottes râpées bio,Entrée,legumes racines
salade verte,Entrée,legumes autres
Yaourt aro,fromage,Lait
haricots beurre et plats agro,Accompagnement,legumes autres
St Paulin,fromage,Fromage
Cordon bleu,Plat,Volaille
tomates,Accompagnement,Tomates
Poire,dessert,fruits autre
salade de lentilles bio?? (lentilles,Entrée,Legumineuse autre
maïs),Accompagnement,Mais
bolognaise,Plat,Boeuf
Salade au surimi,Entrée,Poissons
Pâtes,Accompagnement,Blé Seigle
fromage rapee,fromage,Fromage
yaourt bio,fromage,Lait
Rôti de porc,Plat,Porc
Edam,fromage,Fromage
Rôti de dinde,Plat,Volaille
tarte aux pommes,dessert,fruits autre
courgette tomate,Accompagnement,legumes autres
Pastèque,Entrée,agrumes
Pommes rissolées,Accompagnement,Pomme de terre
filet de poisson frais,Plat,Poissons
sce crustacés,Accompagnement,Crustacés
Concombres,Entrée,legumes autres
sauce crème comexo,Accompagnement,Lait
Crème choco,dessert,Lait
Carottes 5/1,Accompagnement,legumes racines
rôti de veau farci,Plat,Veau
sauté de dinde aux raisins,Plat,Volaille
Pommes noisettes,Accompagnement,Pomme de terre
jus de veau,Accompagnement,Veau
tarte au fromage,dessert,Fromage
betteraves en des,Entrée,legumes racines
Fromage blanc / abricots secs,fromage,Lait
ananas,dessert,fruits autre
Flan caramel,dessert,Lait
Tomates rondelles/ fêta,Entrée,Tomates
Pilon poulet confit,Plat,Volaille
lentilles maison,Accompagnement,Legumineuse autre
filet de poisson frais beurre blanc,Plat,Poissons
Chèvre,fromage,Fromage
Salade de pâtes,Entrée,Blé Seigle
batonnet de légumes agro,Accompagnement,legumes autres
raisin,dessert,Bais et Raisins
Crème vanille,dessert,Lait
parmentier de boeuf,Plat,Boeuf
salade verte,Entrée,legumes autres
Rillettes de thon/citron,Entrée,Poissons
Tomme bio,fromage,Fromage
brocolis ( beurre ail),Accompagnement,legumes autres
banane,dessert,Banane
Sauté de porc Forestiere,Plat,Porc
Crêpe fromage,Entrée,Fromage
Riz / ratatouille,Accompagnement,Riz
poisson pané/citron,Plat,Poissons
carottes râpées bio,Entrée,legumes racines
Champanet,fromage,Fromage
Pomme reinette,dessert,fruits autre
Cornichons,Accompagnement,legumes autres
pâté de volaille,Entrée,Volaille
haché de volaille +Ketchup,Plat,Volaille
Cantal,fromage,Fromage
lentilles maison,Accompagnement,Legumineuse autre
Pâté de foie bio,Entrée,Foie
choux blanc rape bio,Entrée,type chou
Pommes noisettes,Accompagnement,Pomme de terre
emincé de boeuf Strogonoff,Plat,Boeuf
mimolette en des,fromage,Fromage
Poire,dessert,fruits autre
salade carnaval,Entrée,legumes autres
Edam,fromage,Fromage
omelette,Plat,oeufs
mais ( tomates,Accompagnement,Mais
concombres),Accompagnement,legumes autres
Epinards,Accompagnement,legumes autres
Semoule au lait?,dessert,Blé Seigle
fge blanc / spéculoos,fromage,Lait
Céleri rémoulade/maison,Entrée,legumes racines
Poisson meunière,Plat,Poissons
Mousseline potiron,Accompagnement,type chou
chipo de volaille,Plat,Volaille
salade de riz agro,Entrée,Riz
h beurre h plats,Accompagnement,legumes autres
saucisses de Francfort,Plat,Porc
pomme,dessert,fruits autre
camenbert,fromage,Fromage
choux rouges rapees bio,Entrée,type chou
yaourts aromatises,fromage,Lait
semoule aux raisins,dessert,Blé Seigle
boulettes de boeuf,Plat,Boeuf
des de pommes,dessert,fruits autre
Kiwi,dessert,fruits autre
tomate concombre,Entrée,legumes autres
quinoa,Accompagnement,Legumineuse autre
Filet de lieu auce du Perray,Plat,Poissons
palets de légumes,Accompagnement,legumes autres
tome blanche,fromage,Fromage
yaourt bio,fromage,Lait
salade pommes de terre et sardines,Entrée,Poissons
Salade verte,Entrée,legumes autres
galettes,Plat,Blé Seigle
Poulet dAncenis au jus,Plat,Volaille
Choux fleurs agro,Accompagnement,type chou
Mâche/demi-oeuf,Entrée,oeufs
Ptit Lu,fromage,Lait
Lait ribot,Accompagnement,Lait
Mogette de VENDEE maison,Accompagnement,Legumineuse autre
Curé nantais,fromage,Fromage
Pomme bio,dessert,fruits autre
jambon de poulet,Entrée,Volaille
jambon fumée,Entrée,Porc
betteraves rapées bio,Entrée,legumes racines
Poire,dessert,fruits autre
Crêpe au fromage,Entrée,Fromage
Tomme bio,fromage,Fromage
Poire,dessert,fruits autre
poisson beurre blanc,Plat,Poissons
Carottes surgelées,Accompagnement,legumes racines
Potage légumes,Entrée,legumes autres
Lasagnes,Plat,Blé Seigle
salade verte,Entrée,legumes autres
Gervais maxi fraise,fromage,Lait
Salade de riz maison (riz,Entrée,Riz
tomate),Accompagnement,Tomates
Gouda,fromage,Fromage
mais,Accompagnement,Mais
courgette à la tomate,Accompagnement,legumes autres
Poisson pané/citron,Plat,Poissons
Rillettes de  thon,Entrée,Poissons
Hachis parmentier,Plat,Pomme de terre
Salade verte,Entrée,legumes autres
Yaourt bio,fromage,Lait
St Paulin,fromage,Fromage
tarte au fromage,dessert,Fromage
Brocolis beurre Provençal,Accompagnement,legumes autres
Filet de lieu sauce crustacés,Plat,Poissons
Poire,dessert,fruits autre
Filet de poulet,Plat,Volaille
riz au lait maison,dessert,Lait
Petits pois,Accompagnement,legumes autres
Céleri rémoulade maison,Entrée,legumes racines
crème vanille,dessert,Lait
Frites,Accompagnement,Pomme de terre
Pamplemousse,Entrée,agrumes
sauté de veau forestier,Plat,Veau
abricots secs ou dattes,dessert,fruits autre
Fromage blanc,fromage,Lait
Marmelade,Accompagnement,fruits autre
Salade de pâtes aux tomates confites,Entrée,Tomates
Jambon fumé (s/porc : Blanc de dinde),Entrée,Volaille
Camembert,Fromage,Fromage
Compote po framboise,Dessert,fruits autre
Mâche/demi-oeuf,Entrée,oeufs
Dhal de lentilles,Plat,Legumineuse autre
poisson  meunière,Plat,Poissons
ratatouille maison,Accompagnement,legumes autres
Tomme blanche,Fromage,Fromage
Potage de carottes,Entrée,legumes racines
Clémentines,Dessert,agrumes
sauté de boeuf sauce Dijonnaise,Plat,Boeuf
Tomme bio,Fromage,Fromage
Pomme,Dessert,fruits autre
coquillette,Accompagnement,Blé Seigle
Radis /beurre,Entrée,legumes racines
Lait fermier,Fromage,Lait
rôti de dinde au jus,Plat,Volaille
haricots verts,Accompagnement,legumes autres
Eclair choco,Dessert,Sucre blanc
Concombres vgte,Entrée,legumes autres
Ananas,Dessert,fruits autre
chipo de volaille,Plat,Volaille
Pizza fromage,Plat,Blé Seigle
chx fleurs becha agro,Accompagnement,type chou
Toulouse grillée,Fromage,Fromage
Potage tomate vermicelle,Entrée,Tomates
Batonnière d elégumes,Accompagnement,legumes autres
puree a chaud,Accompagnement,pomme de terre
poisson pané,Plat,Poissons
salade verte,Accompagnement,legumes autres
des de poisson,Plat,Poissons
yaourt aro,Fromage,Lait
Clémentines,Dessert,agrumes
Carottes râpées bio,Entrée,legumes racines
Morbier,Fromage,Fromage
Riz,Accompagnement,Riz
Kiwi,Dessert,fruits autre
Blanquette de veau,Plat,Veau
des de betteraves,Entrée,legumes racines
des de gruyere,Fromage,Fromage
des de jambon,Entrée,Porc
salade verte,Accompagnement,legumes autres
miette de thon,Entrée,Poissons
danette choc,Dessert,Lait
Choux rouges,Accompagnement,type chou
des de de dinde,Entrée,Volaille
coquillettes,Accompagnement,Blé Seigle
Mâche,Entrée,legumes autres
omelette,Plat,oeufs
Tarte au citron,Dessert,agrumes
wok de legumes au quinoa,Plat,legumes autres
brissure de noix,Entrée,Arachide
Camembert,Fromage,Fromage
Choux blancs,Accompagnement,type chou
Flan gélifié au chocolat,Dessert,Lait
boulettes,Plat,Boeuf
mimolette,Fromage,Fromage
Couscous,Plat,Blé Seigle
Rôti de porc,Plat,Porc
rôti de dinde,Plat,Volaille
Haricots beurre et plats,Accompagnement,legumes autres
Tome bio,Fromage,Fromage
Poire,Dessert,fruits autre
Crêpe fromage,Plat,Blé Seigle
Pomme,Dessert,fruits autre
salade de pâtes aux tomates confites,Entrée,Tomates
filet de lieu,Plat,Poissons
st paulin,Fromage,Fromage
palet brocolis/carottes,Accompagnement,legumes racines
Salade douceur au dés de saumon fumée,Entrée,Poissons
chocolat,Dessert,Sucre Cannes
Sot ly laisse de dinde,Plat,Volaille
jus doranges,Boisson,agrumes
Dessert Ardélice,Dessert,Lait
chevrotine,Plat,Volaille
pomme de terre Duchesse,Accompagnement,pomme de terre
Filet de poisson meunière,Plat,Poissons
Epinards à la crème,Accompagnement,legumes autres
Champanet,Fromage,Fromage
potage légumes et croûtons,Entrée,legumes autres
Banane,Dessert,Banane
Yaourt aro,Fromage,Lait
Salade verte,Accompagnement,legumes autres
Potage tomate,Entrée,Tomates
hachis parmentier,Plat,pomme de terre
mache,Entrée,legumes autres
Kiwi,Dessert,fruits autre
Cassoulet,Plat,Haricots blancs
Camembert,Fromage,Fromage
noix,Dessert,Arachide
Batonnière de légumes agro,Accompagnement,legumes autres
Galette des rois,Dessert,Blé Seigle
Lait fermier,Fromage,Lait
filet surgele printaniere,Plat,Poissons
Choux blanc mimolette,Accompagnement,type chou
Endives / demi-oeuf,Entrée,oeufs
Compote pomme - framboise,Dessert,fruits autre
paella de la mer,Plat,Riz
Emmental,Fromage,Fromage
sauté de  boeuf Bourguignon,Plat,Boeuf
potage légumes+ croûtons,Entrée,legumes autres
haricots verts,Accompagnement,legumes autres
Clémentines,Dessert,agrumes
chèvre,Fromage,Fromage
carottes râpées bio,Entrée,legumes racines
purée PdT,Accompagnement,pomme de terre
jus de veau,Plat,Veau
rôti de dinde,Plat,Volaille
Yaourt bio,Fromage,Lait
poisson pané,Plat,Poissons
Crème de gruyère,Fromage,Fromage
Courgettes à la tomate,Accompagnement,legumes autres
ananas,Dessert,fruits autre
citron/tomate,Entrée,Tomates
Taboulé,Entrée,Blé Seigle
Mâche au surimi,Entrée,legumes autres
gruyère râpée,Fromage,Fromage
pâte,Accompagnement,Blé Seigle
Fromage blanc / abricots secs,Fromage,Lait
sauce bolognaise maison,Sauce,Boeuf
Choux rouges bio,Accompagnement,type chou
St Bricet,Fromage,Fromage
Rôti de porc,Plat,Porc
rôti de dinde au jus,Plat,Volaille
Petits pois,Accompagnement,legumes autres
Eclair choco,Dessert,Sucre blanc
Choux fleurs béchamel,Accompagnement,type chou
tomates),Entrée,Tomates
salade de blé (blé,Entrée,Blé Seigle
Kiwi,Dessert,fruits autre
Gouda,Fromage,Fromage
maïs,Accompagnement,Mais
cordon bleu de volaille,Plat,Volaille
Gervais aro,Fromage,Lait
sauce creme,Sauce,Lait
Salade verte,Accompagnement,legumes autres
Concombres crème,Entrée,legumes autres
Parmentier de poisson maison,Plat,Poissons
NEMS/salade,Entrée,legumes autres
Emincé de dinde,Plat,Volaille
salade de fruits exotique,Dessert,fruits autre
Riz cantonnais,Plat,Riz
gruyère),Fromage,Fromage
Pomme bio,Dessert,fruits autre
Batonnière de légumes,Accompagnement,legumes autres
salade de lentilles bio au gruyère (Lentilles bio,Entrée,Legumineuse autre
Poisson meunière,Plat,Poissons
tomate,Entrée,Tomates
Rôti de boeuf,Plat,Boeuf
Banane,Dessert,Banane
Potage tomate vermicelle,Entrée,Tomates
Tomme chèvre/brebis,Fromage,Fromage
Haricots verts,Accompagnement,legumes autres
Omelette,Plat,oeufs
salade verte au thon,Entrée,legumes autres
Tagliatelles ultra résistantes Panzani plus,Accompagnement,Blé Seigle
